iter	Passed	Remaining
0	4	1376
1	6	1026
2	9	892
3	11	821
4	13	774
5	15	749
6	19	801
7	21	787
8	23	765
9	25	745
10	27	730
11	29	718
12	33	745
13	38	785
14	40	773
15	43	763
16	45	755
17	49	774
18	52	773
19	54	761
20	56	748
21	58	737
22	60	728
23	62	718
24	67	737
25	69	730
26	71	721
27	73	714
28	75	706
29	77	698
30	81	710
31	84	703
32	86	696
33	88	689
34	90	682
35	92	675
36	95	680
37	98	679
38	100	673
39	102	668
40	104	662
41	106	656
42	108	650
43	113	660
44	115	654
45	117	650
46	119	644
47	121	639
48	123	634
49	131	657
50	133	653
51	136	648
52	138	644
53	140	638
54	143	640
55	145	635
56	147	630
57	150	626
58	152	621
59	156	626
60	159	625
61	161	620
62	163	616
63	165	611
64	167	606
65	171	608
66	174	605
67	176	601
68	178	596
69	180	592
70	182	588
71	184	584
72	189	589
73	191	585
74	193	579
75	195	575
76	197	571
77	199	567
78	203	570
79	205	566
80	207	562
81	210	558
82	212	554
83	214	551
84	218	552
85	220	548
86	222	544
87	224	541
88	226	537
89	228	533
90	230	530
91	233	528
92	235	525
93	238	521
94	240	518
95	242	514
96	244	511
97	248	512
98	250	509
99	253	506
100	255	502
101	257	499
102	259	496
103	264	497
104	267	497
105	269	494
106	272	490
107	274	487
108	277	486
109	280	484
110	282	481
111	284	477
112	286	474
113	288	471
114	290	467
115	295	469
116	297	466
117	300	462
118	302	459
119	304	456
120	306	452
121	310	453
122	312	450
123	314	447
124	316	443
125	319	440
126	321	437
127	326	438
128	328	435
129	330	432
130	332	429
131	334	426
132	336	422
133	341	422
134	343	419
135	345	416
136	347	413
137	349	410
138	351	407
139	356	406
140	358	404
141	360	401
142	362	398
143	364	395
144	366	392
145	370	390
146	373	388
147	375	385
148	377	382
149	379	379
150	381	376
151	383	373
152	386	371
153	388	368
154	391	365
155	393	362
156	395	360
157	397	357
158	402	357
159	406	355
160	408	352
161	410	349
162	412	346
163	417	345
164	419	343
165	421	340
166	423	337
167	425	334
168	429	332
169	431	330
170	434	327
171	436	324
172	438	321
173	440	318
174	442	316
175	445	313
176	447	311
177	449	308
178	451	305
179	453	302
180	455	299
181	460	298
182	462	295
183	464	293
184	466	290
185	468	287
186	471	284
187	475	283
188	477	280
189	480	277
190	482	275
191	484	272
192	486	269
193	490	268
194	493	265
195	495	262
196	497	259
197	499	257
198	501	254
199	505	252
200	507	250
201	509	247
202	512	244
203	514	242
204	516	239
205	521	238
206	523	235
207	526	232
208	528	229
209	530	227
210	532	224
211	535	222
212	538	220
213	541	217
214	543	214
215	545	212
216	547	209
217	552	207
218	554	205
219	556	202
220	558	199
221	560	196
222	562	194
223	567	192
224	569	189
225	571	187
226	573	184
227	575	181
228	577	178
229	581	176
230	584	174
231	586	171
232	588	169
233	590	166
234	592	164
235	596	161
236	599	159
237	601	156
238	603	154
239	605	151
240	607	148
241	609	146
242	614	144
243	616	141
244	618	138
245	620	136
246	622	133
247	624	130
248	628	128
249	630	126
250	632	123
251	634	120
252	636	118
253	639	115
254	643	113
255	645	110
256	647	108
257	649	105
258	652	103
259	654	100
260	657	98
261	660	95
262	662	93
263	664	90
264	666	88
265	668	85
266	670	82
267	676	80
268	678	78
269	680	75
270	683	73
271	685	70
272	687	68
273	690	65
274	692	62
275	694	60
276	696	57
277	698	55
278	700	52
279	705	50
280	707	47
281	709	45
282	711	42
283	713	40
284	715	37
285	719	35
286	721	32
287	723	30
288	725	27
289	727	25
290	729	22
291	731	20
292	736	17
293	738	15
294	740	12
295	742	10
296	745	7
297	747	5
298	751	2
299	753	0
