feature,importance
stress_level,1.6587746119311142
anxiety_score,1.5598605336377542
academic_work_pressure,1.3908649298489
depression_score,1.3711876880102114
gender_Non-binary,0.24546490085219932
occupation_Working Professional,0.22519703953149017
physical_activity_days,0.21653120200321188
gender_Male,0.20842177604290904
work_life_balance,0.19813713597481275
social_media_hours,0.19110941144501026
sleep_quality,0.18298377568762172
sleep_hours,0.14134033284067946
occupation_Student,0.11999063572714715
occupation_Both (Part-time work + Study),0.11197291216459027
social_support,0.09487347575559663
mood_score,0.08963581236020128
gender_Female,0.08316274862595019
concentration_level,0.05681890025533315
age,0.04170964846414571
