feature,importance_mean,importance_std
stress_level,0.1858755270325188,0.0396781991782816
academic_work_pressure,0.16817185913938207,0.03675090221327124
anxiety_score,0.14808802780612149,0.019803905100047998
depression_score,0.12708370047226206,0.03788235598415059
gender_Non-binary,0.020165098917506397,0.007840515852119133
work_life_balance,0.01978054094162802,0.009833432855527293
sleep_hours,0.017955998201799717,0.006719648076411789
physical_activity_days,0.01314423095237317,0.00596088697974313
social_support,0.011640280710511541,0.008709214036467962
gender_Male,0.010082549458753198,0.011506287324844194
age,0.009702091755250719,0.007815786942915647
mood_score,0.009336114221724468,0.012023887485481716
sleep_quality,0.007999732166564666,0.009490032297501422
social_media_hours,0.0060677118327733485,0.008966679167408781
gender_Female,0.005553904832271472,0.009930342344794611
concentration_level,0.0014202687569988437,0.007462211845829768
occupation_Student,0.0008025640941437762,0.004780120854358792
occupation_Both (Part-time work + Study),0.0,0.0
occupation_Working Professional,-0.005273620867878181,0.0093437960976056
